Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4040, 3323, 0.215769, 30357600
ulysses16, 16, 8067, 6859, 0.176119, 296100
ulysses22, 22, 9109, 7013, 0.298874, 692600
eil51, 51, 652, 426, 0.530516, 9938600
berlin52, 52, 10692, 7542, 0.417661, 10188700
kroA100, 100, 36865, 21282, 0.732215, 193506100
kroD100, 100, 39730, 21294, 0.865784, 76331300
ch150, 150, 12252, 6528, 0.876838, 174192000
gr202, 202, 63590, 40160, 0.583416, 409442300
gr229, 229, 227813, 134602, 0.692493, 581494100
pcb442, 442, 94397, 50778, 0.859014, 4915736800
d493, 493, 61210, 35002, 0.748757, 9105199900
dsj1000, 1000, 33368590, 18659688, 0.788272, 94156662200
