Names, N, Weights, Time(ns)
berlin52, 52, 8980, 13576800
burma14, 14, 4048, 110600
ch150, 150, 8197, 82536900
d493, 493, 43874, 1962460400
dsj1000, 1000, 24630960, 16202571600
eil51, 51, 534, 2478800
gr202, 202, 49450, 137919000
gr229, 229, 166150, 200129600
kroA100, 100, 26854, 18935500
kroD100, 100, 26947, 18785000
pcb442, 442, 61609, 1401948900
ulysses16.tsp, 16, 9874, 86700
ulysses22.tsp, 22, 8628, 354200
