Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4049, 3323, 0.218477, 64166600
ulysses16, 16, 7735, 6859, 0.127715, 870600
ulysses22, 22, 8110, 7013, 0.156424, 2175600
eil51, 51, 583, 426, 0.368545, 162025300
berlin52, 52, 10248, 7542, 0.358791, 31161800
kroA100, 100, 29635, 21282, 0.392491, 209410200
kroD100, 100, 27862, 21294, 0.308444, 207678700
ch150, 150, 9203, 6528, 0.409773, 732342700
gr202, 202, 52625, 40160, 0.310383, 1786753900
gr229, 229, 182483, 134602, 0.355723, 2780295000
pcb442, 442, 81256, 50778, 0.600221, 25741678400
d493, 493, 47023, 35002, 0.343438, 37707373200
dsj1000, 1000, 25782380, 18659688, 0.381715, 400225917200
