Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 3280, 3323, -0.012940, 48259500
ulysses16, 16, 5786, 6859, -0.156437, 1783600
ulysses22, 22, 15921, 7013, 1.270212, 4698800
eil51, 51, 116, 426, -0.727700, 72553700
berlin52, 52, 54656, 7542, 6.246884, 59459200
kroA100, 100, 266210, 21282, 11.508693, 410335200
kroD100, 100, 90747, 21294, 3.261623, 402348100
ch150, 150, 36221, 6528, 4.548560, 1312324100
gr202, 202, 554228, 40160, 12.800498, 3401437800
gr229, 229, 3149333, 134602, 22.397372, 4950366000
pcb442, 442, 1537564, 50778, 29.280121, 34403451000
d493, 493, 1362528, 35002, 37.927147, 50040019400
dsj1000, 1000, 130542113, 18659688, 5.995943, 461423868500
