Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4048, 3323, 0.218176, 14803300
ulysses16, 16, 9874, 6859, 0.439568, 59100
ulysses22, 22, 8628, 7013, 0.230287, 63299
eil51, 51, 534, 426, 0.253521, 362200
berlin52, 52, 8980, 7542, 0.190666, 342000
kroA100, 100, 26854, 21282, 0.261817, 1873800
kroD100, 100, 26947, 21294, 0.265474, 1252700
ch150, 150, 8197, 6528, 0.255668, 3167800
gr202, 202, 49450, 40160, 0.231325, 7813500
gr229, 229, 166150, 134602, 0.234380, 67512300
pcb442, 442, 61609, 50778, 0.213301, 29477700
d493, 493, 43874, 35002, 0.253471, 38808000
dsj1000, 1000, 24630960, 18659688, 0.320009, 170195300
