Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4048, 3323, 0.218176, 244616
ulysses16, 16, 9874, 6859, 0.439568, 93607
ulysses22, 22, 8628, 7013, 0.230287, 27018
eil51, 51, 534, 426, 0.253521, 440375
berlin52, 52, 8980, 7542, 0.190666, 193650
kroA100, 100, 26854, 21282, 0.261817, 567172
kroD100, 100, 26947, 21294, 0.265474, 558478
ch150, 150, 8197, 6528, 0.255668, 1235699
gr202, 202, 49450, 40160, 0.231325, 2029264
gr229, 229, 166150, 134602, 0.234380, 2601415
pcb442, 442, 61609, 50778, 0.213301, 13507458
d493, 493, 43874, 35002, 0.253471, 17089705
dsj1000, 1000, 24630960, 18659688, 0.320009, 83467958
