Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 3654, 3323, 0.099609, 31705467500
ulysses16, 16, 6513, 6859, -0.050445, 749600
ulysses22, 22, 8195, 7013, 0.168544, 1371500
eil51, 51, 637, 426, 0.495305, 23343700
berlin52, 52, 11041, 7542, 0.463935, 22227800
kroA100, 100, 39038, 21282, 0.834320, 93576900
kroD100, 100, 36191, 21294, 0.699587, 108943000
ch150, 150, 11585, 6528, 0.774663, 419110800
gr202, 202, 62320, 40160, 0.551793, 1154486200
gr229, 229, 215200, 134602, 0.598788, 1704025100
pcb442, 442, 93213, 50778, 0.835697, 12966430300
d493, 493, 62633, 35002, 0.789412, 21426183200
dsj1000, 1000, 32534486, 18659688, 0.743571, 201239643000
