Names, N, Weights, Time(ns)
berlin52, 52, 8980, 17540700
burma14, 14, 4048, 118400
ch150, 150, 8197, 83209800
d493, 493, 43874, 2138714300
dsj1000, 1000, 24630960, 17746868500
eil51, 51, 534, 2751000
gr202, 202, 49450, 151495700
gr229, 229, 166150, 215239600
kroA100, 100, 26854, 20433000
kroD100, 100, 26947, 19492200
pcb442, 442, 61609, 1553493700
ulysses16.tsp, 16, 9874, 138500
ulysses22.tsp, 22, 8628, 270900
