Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4040, 3323, 0.215769, 46136300
ulysses16, 16, 7969, 6859, 0.161831, 1299500
ulysses22, 22, 9081, 7013, 0.294881, 3323500
eil51, 51, 652, 426, 0.530516, 169777400
berlin52, 52, 10692, 7542, 0.417661, 39601000
kroA100, 100, 36865, 21282, 0.732215, 216540400
kroD100, 100, 39730, 21294, 0.865784, 217698000
ch150, 150, 12252, 6528, 0.876838, 812904500
gr202, 202, 63262, 40160, 0.575249, 1487684600
gr229, 229, 227813, 134602, 0.692493, 2734764300
pcb442, 442, 94397, 50778, 0.859014, 25516976700
d493, 493, 61210, 35002, 0.748757, 39858156200
dsj1000, 1000, 33368590, 18659688, 0.788272, 363026464500
