Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4001, 3323, 0.204033, 52065300
ulysses16, 16, 8715, 6859, 0.270593, 1682100
ulysses22, 22, 9081, 7013, 0.294881, 3309700
eil51, 51, 667, 426, 0.565728, 154860000
berlin52, 52, 10743, 7542, 0.424423, 45226900
kroA100, 100, 36865, 21282, 0.732215, 204732200
kroD100, 100, 39730, 21294, 0.865784, 205278800
ch150, 150, 12303, 6528, 0.884651, 741689400
gr202, 202, 77904, 40160, 0.939841, 1939983300
gr229, 229, 228936, 134602, 0.700837, 2949505900
pcb442, 442, 95190, 50778, 0.874631, 21669735100
d493, 493, 162160, 35002, 3.632878, 32939264700
dsj1000, 1000, 33368590, 18659688, 0.788272, 313556472500
