Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4040, 3323, 0.215769, 26435700
ulysses16, 16, 8067, 6859, 0.176119, 292700
ulysses22, 22, 9109, 7013, 0.298874, 694700
eil51, 51, 652, 426, 0.530516, 8345200
berlin52, 52, 10692, 7542, 0.417661, 10059200
kroA100, 100, 36865, 21282, 0.732215, 196541300
kroD100, 100, 39730, 21294, 0.865784, 77555600
ch150, 150, 12252, 6528, 0.876838, 186970500
gr202, 202, 63590, 40160, 0.583416, 419998700
gr229, 229, 227813, 134602, 0.692493, 603975600
pcb442, 442, 94397, 50778, 0.859014, 4795240200
d493, 493, 61210, 35002, 0.748757, 8888897100
dsj1000, 1000, 33368590, 18659688, 0.788272, 94752430200
