Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 3568, 3323, 0.073729, 853570
ulysses16, 16, 7602, 6859, 0.108325, 108640
ulysses22, 22, 7706, 7013, 0.098816, 239430
eil51, 51, 492, 426, 0.154930, 2164280
berlin52, 52, 9004, 7542, 0.193848, 2050130
kroA100, 100, 25787, 21282, 0.211681, 14738240
kroD100, 100, 25219, 21294, 0.184324, 14191410
ch150, 150, 7964, 6528, 0.219975, 47014010
gr202, 202, 46706, 40160, 0.162998, 118014130
gr229, 229, 156895, 134602, 0.165622, 184379280
pcb442, 442, 61158, 50778, 0.204419, 1771608140
d493, 493, 41163, 35002, 0.176019, 2089836830
dsj1000, 1000, 22723503, 18659688, 0.217786, 40525539930
