Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4040, 3323, 0.215769, 33731300
ulysses16, 16, 8067, 6859, 0.176119, 403300
ulysses22, 22, 9109, 7013, 0.298874, 977000
eil51, 51, 652, 426, 0.530516, 19405700
berlin52, 52, 10692, 7542, 0.417661, 155460000
kroA100, 100, 36865, 21282, 0.732215, 101492100
kroD100, 100, 39730, 21294, 0.865784, 118482100
ch150, 150, 12252, 6528, 0.876838, 280058900
gr202, 202, 63590, 40160, 0.583416, 652065200
gr229, 229, 227813, 134602, 0.692493, 940767300
pcb442, 442, 94397, 50778, 0.859014, 7171988600
d493, 493, 61210, 35002, 0.748757, 12632693900
dsj1000, 1000, 33368590, 18659688, 0.788272, 143525688900
