Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4598, 3323, 0.383689, 41547000
ulysses16, 16, 9021, 6859, 0.315206, 1306600
ulysses22, 22, 10148, 7013, 0.447027, 3213300
eil51, 51, 828, 426, 0.943662, 164936000
berlin52, 52, 13436, 7542, 0.781490, 48943200
kroA100, 100, 51806, 21282, 1.434264, 205537100
kroD100, 100, 43541, 21294, 1.044754, 226479400
ch150, 150, 12698, 6528, 0.945159, 778913500
gr202, 202, 67524, 40160, 0.681375, 2068829699
gr229, 229, 231742, 134602, 0.721683, 3055633900
pcb442, 442, 97653, 50778, 0.923136, 22844389000
d493, 493, 68378, 35002, 0.953546, 34487404400
dsj1000, 1000, 36230485, 18659688, 0.941645, 339429738400
