Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4048, 3323, 0.218176, 198992
ulysses16, 16, 9874, 6859, 0.439568, 26437
ulysses22, 22, 8628, 7013, 0.230287, 669862
eil51, 51, 534, 426, 0.253521, 344681
berlin52, 52, 8980, 7542, 0.190666, 286695
kroA100, 100, 26854, 21282, 0.261817, 700006
kroD100, 100, 26947, 21294, 0.265474, 537646
ch150, 150, 8197, 6528, 0.255668, 1249259
gr202, 202, 49450, 40160, 0.231325, 2335443
gr229, 229, 166150, 134602, 0.234380, 3010915
pcb442, 442, 61609, 50778, 0.213301, 18338896
d493, 493, 43874, 35002, 0.253471, 22945061
dsj1000, 1000, 24630960, 18659688, 0.320009, 162038600
