Names, N, TSP, TSP*, Error, Time(ns)
burma14, 14, 4049, 3323, 0.218477, 11706600
ulysses16, 16, 7735, 6859, 0.127715, 410200
ulysses22, 22, 8110, 7013, 0.156424, 970000
eil51, 51, 583, 426, 0.368545, 90648600
berlin52, 52, 10248, 7542, 0.358791, 13165000
kroA100, 100, 29635, 21282, 0.392491, 87368100
kroD100, 100, 27862, 21294, 0.308444, 80573300
ch150, 150, 9203, 6528, 0.409773, 304854500
gr202, 202, 52625, 40160, 0.310383, 707894200
gr229, 229, 182483, 134602, 0.355723, 1199993300
pcb442, 442, 81256, 50778, 0.600221, 13316709600
d493, 493, 47023, 35002, 0.343438, 21369806400
dsj1000, 1000, 25782380, 18659688, 0.381715, 232016150100
