N, M, MinCut, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,      3056,    431976,    166566,      117.839,     0.000,
       10,        10,       223,     62180,      1499,       16.962,     0.144,
       10,        12,      2302,     65348,       869,       17.826,     1.051,
       10,        11,      4974,     59819,      2759,       16.318,     0.915,
       20,        24,      1526,   1071397,      5824,       33.179,    17.911,
       20,        24,      1684,   1008089,     17464,       31.218,     0.941,
       20,        27,       522,    948636,      2739,       29.377,     0.941,
       20,        25,      2866,    960139,      8090,       29.733,     1.012,
       40,        52,      2137,   7679697,     11598,       31.843,     7.999,
       40,        54,      1446,   7765620,      6689,       32.200,     1.011,
       40,        51,       648,   7793940,     11037,       32.317,     1.004,
       40,        50,      2486,   8020192,      7328,       33.255,     1.029,
       60,        82,      1282,  45050325,     15752,       60.718,     5.617,
       60,        72,       299,  44911769,     12668,       60.531,     0.997,
       60,        83,      2113,  48621917,     12863,       65.532,     1.083,
