N, M, Time(ns), Instant(ns), Constant, Ratio,
       10,        14,    402216,    138184,      109.721,     0.000,
       10,        10,     60071,      2259,       16.387,     0.149,
       10,        12,     59639,      1209,       16.269,     0.993,
       10,        11,     59897,      1514,       16.339,     1.004,
       20,        24,   1052835,      2601,       32.604,    17.577,
       20,        24,   1032344,      2592,       31.969,     0.981,
       20,        27,    949677,      3562,       29.409,     0.920,
       20,        25,    957569,      4392,       29.654,     1.008,
       40,        52,   7702042,     18090,       31.936,     8.043,
       40,        54,   7784740,    111434,       32.279,     1.011,
       40,        51,   7701089,      7124,       31.932,     0.989,
       40,        50,   7828730,      8471,       32.461,     1.017,
       60,        82,  44852540,     13984,       60.452,     5.729,
       60,        72,  44633648,     14694,       60.157,     0.995,
       60,        83,  48490179,    139213,       65.354,     1.086,
