N, M, MinCut, Time(ns)
       10,        14,      3056,      5960,
       10,        10,       223,       600,
       10,        12,      2302,       180,
       10,        11,      4974,       160,
       20,        24,      1526,       210,
       20,        24,      1684,       260,
       20,        27,       522,       210,
       20,        25,      2866,       200,
       40,        52,      4229,       350,
       40,        54,      2480,       350,
       40,        51,       648,       420,
       40,        50,     10391,       260,
       60,        82,      1536,       600,
       60,        72,       299,       990,
       60,        83,      3626,       530,
       60,        79,       159,       510,
       80,       101,       969,       640,
       80,       105,      2181,       650,
       80,       108,       714,       700,
       80,       108,      8001,      1600,
      100,       128,       341,       620,
      100,       120,       890,       760,
      100,       125,       772,       870,
      100,       133,      1561,       920,
      150,       197,      3191,      1240,
      150,       206,       424,      1120,
      150,       195,      1153,      1060,
      150,       198,       707,      1050,
      200,       276,       484,      1200,
      200,       260,       850,      1360,
      200,       269,      1382,      1080,
      200,       274,      1581,      1460,
      250,       317,       346,      1940,
      250,       322,       381,      9010,
      250,       338,       129,      1830,
      250,       326,       670,      1530,
      300,       403,      4708,      1900,
      300,       393,       869,      8930,
      300,       408,       868,      2150,
      300,       411,      1929,      2150,
      350,       468,       676,      2640,
      350,       475,       290,      1410,
      350,       462,      6001,      2190,
      350,       474,       175,      1440,
      400,       543,       508,      2720,
      400,       527,       904,      2980,
      400,       526,       362,      5410,
      400,       525,      1102,      2150,
      450,       595,       400,      3100,
      450,       602,       364,      3050,
      450,       593,       336,      2200,
      450,       594,       639,      3030,
      500,       670,        43,      3430,
      500,       671,      1929,      4860,
      500,       670,       363,      3440,
      500,       666,       584,      3380,
