N, M, MinCut, Time(ns)
       10,        14,      3056,      6670,
       10,        10,       223,       840,
       10,        12,      2302,      1240,
       10,        11,      4974,       660,
       20,        24,      1526,       930,
       20,        24,      1684,      4640,
       20,        27,       522,      2850,
       20,        25,      2866,      1140,
       40,        52,      4229,      1920,
       40,        54,      2480,      2190,
       40,        51,       648,      1940,
       40,        50,     10391,      1790,
       60,        82,      1536,      5180,
       60,        72,       299,      2670,
       60,        83,      3626,      3040,
       60,        79,       159,      4030,
       80,       101,       969,      3430,
       80,       105,      2181,      5060,
       80,       108,       714,      3270,
       80,       108,      8001,      3230,
      100,       128,       341,      6340,
      100,       120,       890,      3590,
      100,       125,       772,      3660,
      100,       133,      1561,      3920,
      150,       197,      3191,      5530,
      150,       206,       424,      5640,
      150,       195,      1153,      5500,
      150,       198,       707,      7100,
      200,       276,       484,      7550,
      200,       260,       850,      7230,
      200,       269,      1382,      6970,
      200,       274,      1581,      7630,
      250,       317,       346,      8840,
      250,       322,       381,      8880,
      250,       338,       129,      9340,
      250,       326,       670,      8780,
      300,       403,      4708,     11100,
      300,       393,       869,     10780,
      300,       408,       868,     11610,
      300,       411,      1929,     11230,
      350,       468,       676,     26179,
      350,       475,       290,     11730,
      350,       462,      6001,     12870,
      350,       474,       175,     12530,
      400,       543,       508,     14750,
      400,       527,       904,     14530,
      400,       526,       362,     14660,
      400,       525,      1102,     14950,
      450,       595,       400,     16090,
      450,       602,       364,     16230,
      450,       593,       336,     15400,
      450,       594,       639,     16180,
      500,       670,        43,     18110,
      500,       671,      1929,     18030,
      500,       670,       363,     18270,
      500,       666,       584,     17890,
