N, M, MinCut, Time(ns)
       10,        14,      3056,      5920,
       10,        10,       223,       590,
       10,        12,      2302,       110,
       10,        11,      4974,       150,
       20,        24,      1526,       270,
       20,        24,      1684,       270,
       20,        27,       522,       200,
       20,        25,      2866,       260,
       40,        52,      4229,       540,
       40,        54,      2480,       380,
       40,        51,       648,       400,
       40,        50,     10391,       320,
       60,        82,      1536,       560,
       60,        72,       299,       640,
       60,        83,      3626,       520,
       60,        79,       159,       530,
       80,       101,       969,       710,
       80,       105,      2181,       650,
       80,       108,       714,       760,
       80,       108,      8001,      1360,
      100,       128,       341,       710,
      100,       120,       890,       730,
      100,       125,       772,       780,
      100,       133,      1561,       740,
      150,       197,      3191,      2940,
      150,       206,       424,       940,
      150,       195,      1153,      1020,
      150,       198,       707,      1080,
      200,       276,       484,      1090,
      200,       260,       850,      1300,
      200,       269,      1382,       810,
      200,       274,      1581,      1340,
      250,       317,       346,      1640,
      250,       322,       381,      1730,
      250,       338,       129,      1820,
      250,       326,       670,      1490,
      300,       403,      4708,      1740,
      300,       393,       869,      2030,
      300,       408,       868,      2080,
      300,       411,      1929,      2040,
      350,       468,       676,      2390,
      350,       475,       290,      1300,
      350,       462,      6001,      2130,
      350,       474,       175,      1350,
      400,       543,       508,      2500,
      400,       527,       904,      2640,
      400,       526,       362,      5260,
      400,       525,      1102,      2060,
      450,       595,       400,      2940,
      450,       602,       364,      2900,
      450,       593,       336,      2080,
      450,       594,       639,      2890,
      500,       670,        43,      3240,
      500,       671,      1929,      3150,
      500,       670,       363,      3300,
      500,       666,       584,      3270,
